id;value
1;Sdn
2;Taxi
3;Subn
4;Van
5;Delv
6;Bus
7;Trac
8;P-u
9;Unknown
10;Flat
11;Refg
12;Other
13;Mcy
14;Dump
15;Scho
16;Bike
17;Tow
18;Wago
19;Tank
20;Suv
21;Limo
22;Horse
